Data; Ultimo ;  Apertura  ;Massimo; Minimo ;Vol.;Var. %;Rendimento;Volatilità
01.05.2024; $59.106,9 ;  $60.665,0  ;60827,50; $56.643,50 ;344,37K;-2,57%;-0,025683673;0,065510742
01.04.2024; $60.666,6 ;  $71.329,3  ;72710,80; $59.228,70 ;2,66M;-14,95%;-0,17576362;0,064159348
01.03.2024; $71.332,0 ;  $61.157,3  ;73740,90; $60.138,20 ;2,70M;16,61%;0,167719443;0,063097568
01.02.2024; $61.169,3 ;  $42.580,1  ;63915,30; $41.890,50 ;1,74M;43,66%;0,306423803;0,058682255
01.01.2024; $42.580,5 ;  $42.272,5  ;48923,70; $38.546,90 ;2,03M;0,73%;0,005077063;0,058864113
01.12.2023; $42.272,5 ;  $37.712,9  ;44697,60; $37.618,30 ;1,63M;12,09%;0,075160307;0,058775027
01.11.2023; $37.712,9 ;  $34.648,3  ;38400,80; $34.124,20 ;1,48M;8,84%;0,050516772;0,058839433
01.10.2023; $34.650,6 ;  $26.962,5  ;35191,40; $26.558,40 ;1,61M;28,51%;0,126730405;0,058192594
01.09.2023; $26.962,7 ;  $25.938,3  ;27480,70; $24.923,10 ;1,15M;3,95%;0,016886178;0,058365703
01.08.2023; $25.937,3 ;  $29.232,3  ;30168,60; $25.481,90 ;1,34M;-11,27%;-0,054314679;0,058377156
01.07.2023; $29.232,4 ;  $30.472,9  ;31764,50; $28.890,70 ;1,23M;-4,07%;-0,020448364;0,058536176
01.06.2023; $30.472,9 ;  $27.216,4  ;31395,40; $24.838,00 ;1,77M;11,97%;0,053680046;0,05858035
01.05.2023; $27.216,1 ;  $29.252,1  ;29816,40; $25.853,10 ;1,66M;-6,96%;-0,033561362;0,058699727
01.04.2023; $29.252,1 ;  $28.473,7  ;30964,90; $27.054,30 ;2,03M;2,73%;0,012831122;0,058886461
01.03.2023; $28.473,7 ;  $23.130,6  ;29160,40; $19.591,80 ;10,26M;23,10%;0,088075497;0,058665531
01.02.2023; $23.130,5 ;  $23.124,7  ;25236,80; $21.418,70 ;9,09M;0,02%;9,56E-05;0,058860586
01.01.2023; $23.125,1 ;  $16.537,5  ;23952,90; $16.499,70 ;8,98M;39,83%;0,108589796;0,05840232
01.12.2022; $16.537,4 ;  $17.163,4  ;18351,80; $16.331,20 ;6,61M;-3,65%;-0,010318965;0,05859169
01.11.2022; $17.163,9 ;  $20.496,1  ;21464,70; $15.504,20 ;10,30M;-16,26%;-0,054927883;0,05860683
01.10.2022; $20.496,3 ;  $19.422,9  ;21038,10; $18.207,90 ;8,29M;5,53%;0,017693893;0,058791979
01.09.2022; $19.423,0 ;  $20.049,9  ;22702,50; $18.191,80 ;10,91M;-3,10%;-0,0103338;0,058986154
01.08.2022; $20.043,9 ;  $23.303,4  ;25205,70; $19.542,90 ;6,55M;-13,99%;-0,053729498;0,059009791
01.07.2022; $23.303,4 ;  $19.926,6  ;24605,30; $18.794,40 ;5,79M;16,95%;0,055663068;0,0590439
01.06.2022; $19.926,6 ;  $31.793,1  ;31969,90; $17.630,50 ;3,79M;-37,32%;-0,195607022;0,056877287
01.05.2022; $31.793,4 ;  $37.642,0  ;40021,00; $26.500,50 ;4,67B;-15,56%;-0,096408143;0,05645754
01.04.2022; $37.650,0 ;  $45.529,0  ;47435,00; $37.596,00 ;12,14B;-17,30%;-0,129877194;0,055515251
01.03.2022; $45.525,0 ;  $43.187,2  ;48199,00; $37.182,10 ;43,70B;5,41%;0,038536224;0,055639699
01.02.2022; $43.188,2 ;  $38.475,6  ;45755,20; $34.357,40 ;1,82M;12,18%;0,077682354;0,055488533
01.01.2022; $38.498,6 ;  $46.217,5  ;47944,90; $32.985,60 ;2,03M;-16,70%;-0,127238111;0,054544763
01.12.2021; $46.219,5 ;  $56.891,7  ;59064,30; $42.587,80 ;1,90M;-18,75%;-0,175920218;0,052489185
01.11.2021; $56.882,9 ;  $61.310,1  ;68990,60; $53.448,30 ;1,85M;-7,22%;-0,072977829;0,052238236
01.10.2021; $61.309,6 ;  $43.824,4  ;66967,10; $43.292,90 ;2,18M;39,90%;0,288225501;0,046404192
01.09.2021; $43.823,3 ;  $47.129,2  ;52885,30; $39.646,80 ;2,21M;-7,02%;-0,054494354;0,046293406
01.08.2021; $47.130,4 ;  $41.510,0  ;50498,80; $37.365,40 ;2,14M;13,42%;0,092646501;0,045833898
01.07.2021; $41.553,7 ;  $35.030,7  ;42285,30; $29.310,20 ;2,44M;18,63%;0,107524932;0,045110549
01.06.2021; $35.026,9 ;  $37.294,3  ;41318,00; $28.901,80 ;4,14M;-6,09%;-0,037375752;0,045139785
01.05.2021; $37.298,6 ;  $57.719,1  ;59523,90; $30.261,70 ;5,33M;-35,38%;-0,336610896;0,033875161
01.04.2021; $57.720,3 ;  $58.763,2  ;64778,00; $47.098,50 ;2,97M;-1,78%;-0,017191132;0,033941889
01.03.2021; $58.763,7 ;  $45.160,5  ;61795,80; $45.008,80 ;3,01M;30,11%;0,224234732;0,028030708
01.02.2021; $45.164,0 ;  $33.106,8  ;58335,10; $32.324,90 ;4,01M;36,41%;0,198750515;0,022175406
01.01.2021; $33.108,1 ;  $28.951,7  ;41921,70; $28.204,50 ;5,50M;14,37%;0,06851397;0,021484594
01.12.2020; $28.949,4 ;  $19.697,8  ;29298,80; $17.600,10 ;3,85M;46,97%;0,152503091;0,016838454
01.11.2020; $19.698,1 ;  $18.394,6  ;19831,20; $16.235,20 ;4,05M;42,77%;0,021486854;0,016812217
01.10.2020; $13.797,3 ;  $10.776,6  ;14065,40; $10.387,60 ;2,41M;28,04%;0,049793126;0,016302677
01.09.2020; $10.776,1 ;  $11.644,2  ;12045,90; $9.877,10 ;83,88M;-7,46%;-0,014309734;0,016308492
01.08.2020; $11.644,2 ;  $11.333,2  ;12444,10; $10.730,70 ;15,39M;2,74%;0,005126514;0,01637262
01.07.2020; $11.333,4 ;  $10.961,1  ;11434,80; $10.771,80 ;13,21M;24,06%;0,006136982;0,016435252
01.06.2020; $9.135,4 ;  $9.454,5  ;10301,80; $8.865,30 ;15,35M;-3,38%;-0,005260035;0,016493718
01.05.2020; $9.454,8 ;  $8.628,6  ;10033,00; $8.235,60 ;38,48M;9,57%;0,013619055;0,016524651
01.04.2020; $8.629,0 ;  $6.412,4  ;9437,50; $6.157,40 ;39,41M;34,56%;0,036538366;0,016265587
